Generic,Name,Description,Indication,Dosage,Preparation
Allopurinol,Esloric®,NSAIDs and Antigout Preparations,Primary and secondary gout.,"Dosage in Adults: Allopurinol should be introduced at low dosage e.g. 100mg/day to reduce the risk of adverse reactions and increased only if the serum urate response is unsatisfactory. Extra caution should be exercised if renal function is poor. The following dosage schedules are suggested: 

     . 100 to 200 mg daily in mild conditions, 
     . 300 to 600 mg daily in moderately severe conditions, 
     . 700 to 900 mg daily in severe conditions. 

If dosage on a mg/kg body weight basis is required, 2 to 10 mg/kg body weight per day should be used. 

Dosage in children: Children under 15 years: 10 to 20 mg/kg body weight per   day up to a maximum of 400 mg daily. 

Dosage in the elderly: In the absence of specific data, the lowest dosage which produces satisfactory urate reduction should be used.

Dosage in renal impairment: In severe renal insufficiency, it may be advisable to use less than 100 mg /day or to use single doses of 100 mg at longer intervals than one day.
",100 mg Tablet.
Allylestrenol,Geston™,Systemic Sex Hormone,"Threatened Abortion, Habitual Abortion, Intrauterine Growth Retardation, Threatened premature delivery ","i. Intra Uterine Growth Retardation: 1 tablet three times daily for at least two months. The dose should be reduced if symptoms improved.
ii. Threatened abortion: 1 tablet three times daily until symptoms disappear.
iii. Habitual abortion: 1 - 2 tablets daily as soon as pregnancy is diagnosed. Continue for at least one month after the end of the critical period.
iv. Threatened premature delivery: Depending on individual’s condition & desired response, up to 40 mg daily can be used.",Geston™ Tablet: Box containing 3x10 tablets in blister pack.
Ambrisentan,Ambrisan™ 5,Cardiovascular Preparations,Pulmonary Arterial Hypertension.,"5 mg once daily, maximum recommended dose 10 mg once daily.",AmbrisanTM 5 Tablet: Each box contains 20 tablets in blister pack.
Ambroxol,Ambrox®,Respiratory Tract Preparations,"Productive cough, Acute and chronic inflammatory disorders of upper and lower respiratory tracts associated with viscid mucus including acute and chronic bronchitis, laryngitis, Pharyngitis, sinusitis and rhinitis associated with viscid mucus, Asthmatic bronchitis, bronchial asthma with thick expectoration, Bronchiectasis, Chronic pneumonia.","Average daily dose (preferably after meal) : Paediatric Drops :  0 - 6 months old - 0.5 ml, 2 times a day, 6 - 12 months old - 1 ml, 2 times a day, 1 - 2 years old -1.25 ml, 2 times a day. Syrup : 2 -5 years old - 2.5 ml (1/2 teaspoonful), 2-3 times a day, 5 - 10 years old - 5 ml (1 teaspoonful), 2-3 times a day, 10 years old and adults - 10 ml (2 teaspoonful), 3 times a day.
AmbroxÃ‚Â® 75 SR Capsule : Adults and children over 12 years old - 1 capsule, once daily
","6 mg/ml  Paediatric Drops, 15 mg/5 ml Syrup, 75 mg SR Capsule."
Amitriptyline HCl ,Tryptin®,CNS Preparations,"Tryptin® is indicated for depressive illness particularly with anxiety, chronic migraine, neuropathic pain and nocturnal enuresis in children.",Adults: The recommended initial dose is 25 mg two times daily. Elderly (above 65 years of age): The recommended initial dose is 10 mg – 25 mg daily.,"Tryptin®  10 tablet: Box containing 20 x 10 film coated tablets in strip pack.
Tryptin®  25 tablet: Box containing 20 x 10 film coated tablets in strip pack.
"
Amlexanox,Apsol®,Alimentary Preparations,For the treatment of Aphthous ulcers.," 1. Apply the paste as soon as possible after noticing the symptoms of an aphthous ulcer. Continue to use the paste four times daily, preferably following oral hygiene after breakfast, lunch, dinner, and at bedtime. 2. Dry the ulcer(s) by gently patting it with a soft, clean cloth. 3. Wash hands before applying. 4. Moisten the tip of the index finger. 5. Squeeze a dab of paste approximately 1/4 inch (0.5 cm) onto a fingertip. 6. Gently dab the paste on to the ulcer. Repeat the process if more than one ulcer. 7. Wash hands when done applying. 8. Wash eyes promptly if they should come in contact with the paste. 9. Use the paste until the ulcer heals. If significant healing or pain relief has not occurred in 10 days, consultation with the physician is required. ", Apsol® Oral Paste: Tube containing 5 gm oral paste.
Amlodipine,Camlodin®,Cardiovascular Preparations,"Hypertension, stable angina, vasospastic angina.",5-10 mg once daily.,"Camlodin® 5 tablet : Box containing 5 x 6 tablets in blister pack.
Camlodin® 10 tablet : Box containing 3 x 10 tablets in blister pack."
Amlodipine + Atenolol ,Camlodin® Plus,Cardiovascular Preparations,"Hypertension not controlled by monotherapy, Patients with angina  pectoris & hypertension as co-existing diseases, Post MI, Refractory angina pectoris where nitrate therapy has failed.","Initiated with a single dose of Amlodipine 5 mg + Atenolol 50 mg. Depending upon the therapeutic response, titration of the dosage is recommended. In elderly patients, it is advisable to initiate the therapy with Amlodipine 5 mg + Atenolol  25 mg tablet.","Camlodin®  Plus 25: Each box contains 30 tablets in blister pack.
Camlodin®  Plus: Each box contains 50 tablets in blister pack."
Amlodipine + Benazepril HCl ,Camlopril®,Cardiovascular Preparations,Hypertension. ,Amlodipine is an effective treatment of hypertension in once-daily doses of 2.5-10 mg while benazepril is effective in doses of 10-80 mg. ,"Camlopril® 5/10 - Each box contains 5 x 6 capsules in blister pack.
"
Amlodipine + Olmesartan Medoxomil,Camlosart™,Cardiovascular Preparations,Hypertension,The usual starting dose is one tablet (5/20 mg) once daily. The dosage can be increased after 1 to 2 weeks of therapy to a maximum dose of 10/40 mg once daily as needed to control blood pressure,"CamlosartTM 5/20 tablet: Each box contains 30 tablets in blister pack.
CamlosartTM 5/40 tablet: Each box contains 20 tablets in blister pack.
"
Amoxicillin,Moxacil®,Penicillins and Cephalosporins,"Infections of the ear, nose, and throat, genitourinary tract, skin and skin structure, lower respiratory tract; gonorrhea, acute uncomplicated (ano-genital and urethral infections). H. pylori eradication to reduce the risk of duodenal ulcer recurrence in combination with clarithromycin plus lansoprazol as triple therapy. Prophylactic cover for patients at risk of developing endocarditis when undergoing dental surgery.","Adult : Mild/Moderate -500 mg every 12 hours or 250 mg every 8 hours, Severe-875 mg every 12 hours or 500 mg every 8 hours. Children: Mild/Moderate-25 mg/kg/day in divided doses every 12 hours or 20mg/kg/day in divided doses every 8 hours, Severe-45 mg/kg/day in divided doses every 12 hours or 40 mg/kg/day in divided doses every 8 hours. Gonorrhea, Acute, uncomplicated ano-genital, and urethral infections in males and females 3 g as single oral dose. Prepubertal children 50 mg/Kg/Amoxicillin, combined with 25 mg/kg Probenecid as a single dose.","Moxacil® 250 Capsule : Box containing 100 capsules in blister pack.
Moxacil® 500 Capsule : Box containing 100 capsules in blister pack.
Moxacil® Powder for Suspension: Each Bottle containing dry ingredients to make 100 ml suspension.
Moxacil® Paediatric Drops : Each Bottle containing powder to make 15 ml drops."
Amoxicillin + Clavulanic acid,Moxaclav®,Penicillins and Cephalosporins,"Upper respiratory tract infections; Lower respiratory tract infections; Genito-urinary tract infections; Skin and soft tissue infections; Bone and joint infections e.g. osteomyelitis; Other infections e.g. septic abortion, puerperal sepsis, intra-abdominal sepsis, etc.","Adults and children over 12 years: One Moxaclav® 375 mg tablet three times a day. In severe infection one Moxaclav® 625mg tablet three times a day or one Moxaclav® 1gm tablet two times a day. Children of 6-12 years: 2 teaspoonsful of Moxaclav® Powder for Suspension every 8 hours. Children of 1-6 years: 1 teaspoonful of Moxaclav® Powder for Suspension every 8 hours. Children below 1 year: 25 mg/kg/day in divided doses every 8 hours. Moxaclav® Forte Powder for Suspension: Children of 2-12 years: ½ to 2 teaspoonful b.i.d. Children of 2 months to 2 years: 25/3.6 mg/kg/day to 45/6.4 mg/kg/day b.i.d. Moxaclav® 1.2 IV Injection: 1.2 g every 6-8 hours, Children up to 3 months: 30 mg/kg every 8 hours (every 12 hours in the perinatal period and in premature infants); child 3 months-12 years, 30 mg/kg every 6-8 hours. ","Moxaclav® 375 tablet : Box containing 4 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® 625 tablet :Box containing 5 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® 1gm tablet : Box containing 2 x 6 film coated tablets in Alu-Alu blister pack.
Moxaclav® Powder for Suspension: HDPE Bottle containing dry powder to make 100 ml suspension and HDPE Bottle containing dry powder to make 60 ml suspension.
Moxaclav® Forte Powder for Suspension : HDPE Bottle containing dry powder to make 50 ml suspension.
Moxaclav®  1.2 IV Injection: Pack of 1 vial containing sterile drug mixture accompanied by two solvents ampoule of 10 ml water for injection in each. It also contains a complementary pouch comprised of disposable syringe (20 ml), butterfly needle, alcohol pad & first aid bandage.
"
Antacid,Entacyd®,Alimentary Preparations,"Hyperacidity, peptic ulcer, gastritis, heartburn, sour stomach and dyspepsia.",Two tablets/two teaspoonful suspension 1-3 hours after meal and at bed time.,"Entacyd® tablet : Box containing 20 x 10 tablets in blister pack.
Entacyd® suspension : Bottle containing 200 ml suspension."
Antacid,Entacyd Plus®,Alimentary Preparations,"Hyperacidity, peptic ulcer, gastritis, peptic oesophagitis, gastric hyperacidity, heartburn, sour stomach or hiatus hernia.",1-2 tablets/1-2 teaspoonful suspension 1-3 hours after meal and at bed time,"Entacyd® Plus tablet : Box containing 20 x 10 tablets in blister pack.
Entacyd® Plus suspension : Bottle containing 200 ml suspension."
Antiallergic,Alacot® DS Eye Drops,Eye Preparations,Indicated for the treatment of the signs and symptoms of allergic conjunctivitis,One drop in each affected eye once a day,0.2% Eye Drops
Aripiprazole,Ariprex™,CNS Preparations,"AriprexTM is indicated for schizophrenia, bipolar disorder, adjunctive treatment of major depressive disorder, irritability associated with autistic disorder, agitation associated with schizophrenia or bipolar mania.","

Indications
Initial Dose
Recommended Dose
Maximum Dose


Schizophrenia – adults
10-15    mg/day
10-15 mg/day 
30 mg/day 


Schizophrenia – adolescents (ages 13-17 years)
2    mg/day
10 mg/day 
30 mg/day 


Bipolar mania – adults: monotherapy
15    mg/day
15 mg/day 
30 mg/day 


Bipolar mania – adults: adjunct to lithium or    valproate
10-15 mg/day 
15 mg/day 
30 mg/day 


Bipolar mania – pediatric patients (ages 10-17 years):    monotherapy or as an adjunct to lithium or valproate
2    mg/day
10    mg/day
30    mg/day


As an adjunct to antidepressants for the treatment of    major depressive disorder– adults
2-5    mg/day
5-10    mg/day
15    mg/day


Irritability associated with autistic    disorder-pediatric patients (ages 6-17 years)
2    mg/day
5-10    mg/day
15    mg/day



•	Oral formulations: Administer once daily without regard to meals
","AriprexTM 2 Tablet: Box containing 30 tablets in blister pack
AriprexTM 10 Tablet: Box containing 30 tablets in blister pack
AriprexTM 15 Tablet: Box containing 30 tablets in blister pack
AriprexTM Oral Solution: Eack PET bottle contains 50 ml oral solution with measuring cup & dropper

"
Artemether + Lumefantrine,Lumertam®,Antiparasite Preparations,"Lumertam® is indicated in the treatment and standby emergency treatment of acute uncomplicated Plasmodium falciparum malaria including mixed P. falciparum infection of adults, children and infants weighing from 5 kg and above. ",Each box of Lumertam® contains 24 tablets in a blister pack.,
Aspirin,Carva®,Cardiovascular Preparations,"Antithrombotic action, mediated through inhibition of platelet activation, secondary prophylaxis following myocardial infarction and unstable angina or cerebral transient ischemic attacks.",150 mg at diagnosis and 75 mg daily thereafter.,Carva® 75 tablet: Box containing 20 x 10 tablets in strip pack.
Astaxanthin,Zanthin™,Other Vitamins,"Zanthin™ is indicated as strong antioxidant. This product is also indicated for beautification and skin improvement, healthy immune system, cardiovascular health, to treat chronic inflammation & healthy brain function.","The recommended daily dosage is fairly standardized at a 4 mg per day. Following is a table of recommended dosages:   Dosage Use   2-4 mg Antioxidant, Cardiovascular Health, Immune System Enhancer    4-8 mg Internal Beauty and Skin Improvement, Strength and endurance, Brain and Central Nervous System Health, Eye Health    4-12 mg Arthritis, Silent inflammation (C-reactive protein), Internal Sunscreen   ","Zanthin™ 2 Licap: Each pack contains 30 capsules in blister pack
Zanthin™ 4 Licap: Each pack contains 20 capsules in blister pack"
Atorvastatin,Anzitor®,Lipid Modifying Preparations,"Anzitor ® is indicated as an adjunct to diet for reduction of elevated total cholesterol,
LDL-cholesterol, apolipoprotein B, and triglycerides in patients with-
1. Primary hypercholesterolemia (heterozygous familial and non-familial hypercholesterolemia and mixed
dyslipidemia (Fredrickson types IIa and IIb))
2. Elevated serum TG levels (Fredrickson type IV)
3. Primary dysbetalipoproteinemia (Fredrickson type III) who do not respond adequately to diet.
4. Homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (eg, LDL
apheresis) or if such treatments are unavailable.","Anzitor ® 10: Each box contains 50 film coated tablets in Alu-Alu blister pack.
Anzitor ® 20: Each box contains 30 film coated tablets in Alu-Alu blister pack.
Anzitor ® 40: Each box contains 10 film coated tablets in Alu-Alu blister pack.",
Azelastine Hydrochloride and Fluticasone Propionate,Flonasin™,Topical Nasal Preparations,Indicated for the relief of symptoms of seasonal allergic rhinitis in patients 6 years of age and older.,The recommended dosage is one spray each nostril twice daily.,FlonasinTM Nasal Spray: Each bottle contains aqueous suspension of Azelastine Hydrochloride and Fluticasone Propionate adequate for 120 metered sprays.
Azithromycin,Zimax®,Other Antibacterials,"Bronchitis and pneumonia, sinusitis and pharyngitis/ tonsillitis, in otitis media, and in skin and soft tissue infections, sexually transmitted diseases.",Adults: 500 mg once daily for 3 days. Children: 10 mg/kg body weight once daily for 3 days.,"Zimax® 250 capsule: Box containing 12 capsules in Alu-Alu blister pack.
Zimax® 250 tablet: Box containing 10 film coated tablets in blister pack.
Zimax® 500 tablet : Box containing 12 film coated tablets in Alu-Alu blister pack.
Zimax® 15 ml Dry Powder for suspension: Box containing sealed cap HDPE bottle containing dry powder for reconstituting 15 ml suspension with a measuring cup and a dropper.
Zimax® 30 ml Dry Powder for suspension: Box containing sealed cap HDPE bottle containing dry powder for reconstituting 30 ml suspension with a measuring cup and a dropper.
Zimax® 50 ml Dry Powder for suspension: Box containing sealed cap HDPE bottle containing dry powder for reconstituting 50 ml suspension with a measuring cup and a dropper.
Zimax® 500 Infusion: Box contains one vial containing 500 mg sterile lyophilized Azithromycin powder accompanied by 250 ml 0.9% Sodium Chloride (SoloTM), one infusion set with butterfly needle and 5 ml sterile disposable syringe.
"
Aceclofenac,Flexi®,NSAIDs and Antigout Preparations,"Osteoarthritis, rheumatoid arthritis and ankylosing spondylitis",Flexi: 100 mg twice daily; Flexi SR: 200 mg once daily.,"Flexi Tablet: Box containing 10 x 10 tablets in Alu-Alu blister pack; 
Flexi SR Tablet : Box containing 3 x 10 tablets in Alu-PVDC blister pack."
Acetylcysteine USP,Tylace™,Mucolytic Agent,"- As an adjunctive treatment for patients with abnormal, viscid or inspissated mucus secretion associated with conditions such as- Acute & chronic bronchopulmonary disorders (Pneumonia, Bronchitis, Laryngitis, Sinusitis, Tracheitis, Influenza, Emphysema, Tracheobronchitis, Chronic asthmatic bronchitis, Tuberculosis etc.), Atelectasis , Pulmonary complication of cystic fibrosis, Pulmonary complication of thoracic & cardiovascular surgery.
- As an antidote in Paracetamol overdose 
","As Mucolytic : 
Adults and children over 6 years: 1 Tablet daily

In Paracetamol overdose : 
Initially 140 mg/kg, followed by 70 mg/kg in every 4 hours for an additional 17 doses

Dissolve 1 Tablet in a glass of water (200 ml)
",Each container contains 10 effervescent tablets.
Aciclovir,Virux®,"Systemic Antifungal, Antiviral and Antiprotozoal Agents","For the treatment of viral infections due to herpes simplex virus  (type I & II) and varicella zoster virus (herpes zoster & chickenpox).
For the treatment of herpes simplex virus infections of the skin and mucous membranes including initial and recurrent genital herpes. 
For the prophylaxis of herpes simplex infections in immunocompromised patients. 
","Treatment of initial herpes simplex: 200 mg 5 times daily usually for 5 days. For immunocompromised patients 400 mg 5 times daily for 5 days (longer if new lesions appear during treatment or if healing incomplete; increase dose to 800 mg 5 times daily for genital herpes in immuno-compromised) or as directed by the registered physician.
Children under 2 years: half of the adults dose.
Children over 2 years: Adult dose.
Prevention of recurrence of herpes simplex: 200 mg 4 times daily or 400 mg twice daily possibly reduced to 200 mg 2 or 3 times daily and interrupted every 6-12 months.
Children under 2 years: Half of the adult dose.
Children over 2 years: Adult dose.
Prophylactic treatment of herpes simplex in the immunocompromised: 200 to 400 mg 4 times daily.
Children under 2 years: Half of the adult dose.
Children over 2 years: Adult dose.
Treatment of vericella (chicken pox): Adult and children over 40 kg - 800 mg 4 times daily for 5 days.
Children below 40 kg: 20 mg / kg (maximum 800 mg) per dose orally 4 times daily (80 mg / kg/day) for 5 days. 
Or, Children under 2 years : 200 mg 4 times daily
Children 2-5 years  : 400 mg 4 times daily 
Children Over 6 years : 800 mg 4 times daily
Treatment of herpes zoster (Shingles): 800 mg 5 times daily for 7 days. 
Treatment of initial rectal (Proctitis) herpes infections: An oral Aciclovir dosage of 400 mg 5 times daily for 10 days or until clinical resolution occurs has been recommended.
Cream : Virux® cream should be applied to lesions or impending lesions 5 times daily (at 4 hourly intervals omitting the night-time dose). Treatment should continue for 5 days. If healing does not occur, treatment may be extended for up to 10 days.
Children :
HSV infections in children over 2 years should be given adult doses and children below 2 years should be given half of the adult dose.","Virux® tablet : Box containing 3 x 10 tablets in blister pack.
Virux® cream : Tube containing 5 g of 
Virux® cream."
Aciclovir,Virux Tablet®,Topical Preparations,"Virux® 200 : Each box containing 3X10 tablets in blister pack.
Virux® 400 : Each box containing 2X10 tablets in blister pack.",,
Aciclovir BP 5% & Hydrocortisone BP 1%,Virux® HC,Topical viral infection products,Virux® HC Cream is indicated for the early treatment of recurrent herpes labialis (cold sores) to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time in adults and children (6 years of age and older).,The cream should be topically applied 5 times per day for 5 days. Therapy should be initiated as early as possible after the first signs and symptoms.,Virux® HC Cream: Each Laminated tube contains 10 gram cream.
Acyclovir USP,Virux® IV Injection,Systemic Antiviral,"Following are the indications of Virux® 500 IV Injection: 
• Herpes simplex encephalitis
• Acute clinical manifestations of mucocutaneous 
• Herpes simplex virus infections in immunocompromised patients
• Severe primary or non-primary genital herpes in immune competent patients
• Varicella zoster virus infection in immunocompromised patients
• Herpes zoster (shingles) in immune competent patients who show very severe acute local or systemic manifestations of the disease
","For normal or immunocompromised adult patients with Herpes simplex infection, the recommended dosage is 5 mg/kg every 8 hours. For very severe Herpes zoster infection (shingles) with normal immune system, the recommended dosage is 5 mg/kg every 8 hours and for immune compromised patients, dosage recommendation is 10 mg/kg every 8 hours. For Herpes simplexencephalitis, the recommended dosage is 10 mg/kg every 8 hours. For neonates, the recommended dosage is 10-20 mg/kg every 8 hours. For children from 1 year to 12 years, the recommended dosage is 5 mg/kg every 8 hours for Herpes simplex infections and 10 mg/kg every 8 hours for Varicella zoster virus infection or with Herpes simplex encephalitis. Each dose should be administered by slow intravenous infusion over an one-hour period.","Virux® 500 IV Injection: Each combipack contains one vial of Acyclovir 500 mg accompanied with 100 ml 0.9 % Sodium Chloride solution (SoloTM), one infusion set, one alcohol prep. pad, one first aid band & one 10 ml sterile disposable syringe."
Adapalene,Fona®,Topical Preparations,Acne.,Once daily at night-time.,"Fona® 0.1% cream: Each pack has a laminated tube containing 10 gm cream.
Fona® 0.3% gel: Each pack has a laminated tube containing 10 gm gel."
Adapalene+Benzoyl peroxide,Fona plus®,Topical Preparations,"FonaTM Plus Gel is indicated for the topical treatment of acne vulgaris in patients 12 years of age and
older.","Apply a thin film of FonaTM Plus Gel to affected areas of the face and/or trunk once daily after washing.
Use a pea-sized amount for each area of the face (e.g., forehead, chin, each cheek). Avoid the eyes, lips
and mucous membranes.
FonaTM Plus Gel is not for oral, ophthalmic, or intravaginal use.
",
Adefovir Dipivoxil ,Antiva®,"Systemic Antifungal, Antiviral and Antiprotozoal Agents",Antiva® is indicated for the treatment of chronic hepatitis B in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease.,"The recommended dose of Antiva® in chronic hepatitis B patients with adequate renal function is 10 mg, once daily, taken orally, without regard to food.",Antiva® Tablet: Each box contains 10 tablets in blister pack
Albendazole,Almex®,Antiparasite Preparations,Single or mixed intestinal infections caused by various helminths.,"12 to 24 months: 200 mg as a single dose (Half of Almex® 400 tablet or 5 ml Almex® suspension).
Adults & children (over 2 years): Ascariasis, enterobiasis, trichuriasis & hookworm infestation - 400 mg (One Almex® 400 tablet or 10 ml Almex® suspension) single dose. Strogyloidiasis or taeniasis - 400 mg once daily for three consecutive days. Giardiasis - 400 mg once daily for five days. Hydatid disease (Echinococcosis)-400 mg twice daily for 28 days. For cystic echinococcosis the 28-days course may be repeated after 14 days without treatment to a total of three treatment cycles. For alveolar echinococcosis, 400 mg twice daily for 28 days followed by 14 days without treatment may need to continue for months or years.","Almex® 400 Tablet: Each box contains 12×4’s tablets in blister pack.
Almex® Suspension: Each box contains 6’s 10 ml suspension in sealed cap bottle."
Allopurinol,Esloric®,NSAIDs and Antigout Preparations,Primary and secondary gout.,"Dosage in Adults: Allopurinol should be introduced at low dosage e.g. 100mg/day to reduce the risk of adverse reactions and increased only if the serum urate response is unsatisfactory. Extra caution should be exercised if renal function is poor. The following dosage schedules are suggested: 

     . 100 to 200 mg daily in mild conditions, 
     . 300 to 600 mg daily in moderately severe conditions, 
     . 700 to 900 mg daily in severe conditions. 

If dosage on a mg/kg body weight basis is required, 2 to 10 mg/kg body weight per day should be used. 

Dosage in children: Children under 15 years: 10 to 20 mg/kg body weight per   day up to a maximum of 400 mg daily. 

Dosage in the elderly: In the absence of specific data, the lowest dosage which produces satisfactory urate reduction should be used.

Dosage in renal impairment: In severe renal insufficiency, it may be advisable to use less than 100 mg /day or to use single doses of 100 mg at longer intervals than one day.
",100 mg Tablet.
