Generic,Name,Company,Strength,Price
Dicycloverine Hydrochloride,Abdorin,Opsonin Pharma Ltd.,10 mg,2.01
Dicycloverine Hydrochloride,Abdorin,Opsonin Pharma Ltd.,10 mg/5 ml,30.10
Amlodipine + Olmesartan Medoxomil,Abecab,ACI Limited,5 mg+20 mg,11.00
Amlodipine + Olmesartan Medoxomil,Abecab,ACI Limited,5 mg+40 mg,18.00
Albendazole,Aben-DS,Team Pharmaceuticals Ltd.,400 mg,4.50
Albendazole,Abentel,Aristopharma Ltd.,400 mg,5.00
Olmesartan Medoxomil,Abetis,ACI Limited,10 mg,6.00
Olmesartan Medoxomil,Abetis,ACI Limited,20 mg,9.00
Olmesartan Medoxomil,Abetis,ACI Limited,40 mg,18.00
Olmesartan Medoxomil + Hydrochlorothiazide,Abetis Plus,ACI Limited,20 mg+12.5 mg,9.50
Olmesartan Medoxomil + Hydrochlorothiazide,Abetis Plus,ACI Limited,20 mg+12.5 mg,9.50
Pseudoephedrine + Guaiphenasine + Triprolidine,Abex,Ibn-Sina Pharmaceuticals Ltd.,(30 mg+100 mg+1.25 mg)/5 ml,35.00
Memantine Hydrochloride,Abixa,ACI Limited,10 mg,8.00
Mifepristone + Misoprostol,ABO Kit,Globe Pharmaceuticals Ltd.,200 mg+200 mcg,280.00
Brimonidine Tartrate + Timolol Maleate,ABpres,Navana Pharmaceuticals Ltd.,0.2%+0.5%,110.00
Salbutamol,Absol,Pharmik Laboratories Ltd.,2 mg/5 ml,10.78
Acarbose,Acaril,The White Horse Pharma,50 mg,14.82
Paracetamol,Ace,Square Pharmaceuticals Ltd.,120 mg/5 ml,20.70
Paracetamol,Ace,Square Pharmaceuticals Ltd.,500 mg,0.80
Paracetamol,Ace,Square Pharmaceuticals Ltd.,80 mg/ml,20.70
Paracetamol,Ace,Square Pharmaceuticals Ltd.,250 mg,5.03
Paracetamol,Ace,Square Pharmaceuticals Ltd.,125 mg,4.03
Paracetamol,Ace,Square Pharmaceuticals Ltd.,500 mg,8.06
Paracetamol + Caffeine,Ace Plus,Square Pharmaceuticals Ltd.,500 mg+65 mg,2.51
Paracetamol,Ace Power,Square Pharmaceuticals Ltd.,1000 mg,1.50
Paracetamol,Ace XR,Square Pharmaceuticals Ltd.,665 mg,1.51
Aceclofenac,Acebid,Beacon Pharmaceuticals Ltd.,100 mg,4.01
Ramipril,Acecard,Healthcare Pharmacuticals Ltd.,5 mg,8.00
Ramipril,Acecard,Healthcare Pharmacuticals Ltd.,1.25 mg,3.00
Ramipril,Acecard,Healthcare Pharmacuticals Ltd.,2.5 mg,5.00
Aceclofenac,Aceclof,Premier Pharmaceuticals Ltd.,100 mg,3.00
Aceclofenac,Aceclofen,Astra Biopharmaceuticals Ltd.,100 mg,3.00
Aceclofenac,Aceclora,Marksman Pharmaceuticals Ltd.,100 mg,3.02
Aceclofenac,Acecol,Ziska Pharmaceuticals Ltd.,100 mg,3.00
Aceclofenac,Acedol,Concord Pharmaceuticals Ltd.,100 mg,4.01
Aceclofenac,Acedol SR,Concord Pharmaceuticals Ltd.,200 mg,7.00
Aluminium Hydroxide + Magnesium Hydroxide,Acedone-Z,Zenith Pharmaceuticals Ltd.,250 mg+400 mg,0.42
Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Acedone-Z Plus,Zenith Pharmaceuticals Ltd.,425.53 mg+400 mg+30 mg,1.20
Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,Acedone-Z Plus,Zenith Pharmaceuticals Ltd.,(400 mg+400 mg+30 mg)/5 ml,55.00
Aceclofenac,Acefenac,General Pharmaceuticals Ltd.,100 mg,4.01
Cephradine,Acefra,Apollo Pharmaceutical Ltd.,500 mg,12.00
Cephradine,Acefra,Apollo Pharmaceutical Ltd.,125 mg/5 ml,78.00
Aceclofenac,Acegic,Belsen Pharmaceuticals Ltd.,100 mg,3.00
Cephalexin,Acelex,ACME Laboratories Ltd.,125 mg/1.25 ml,42.66
Cephalexin,Acelex,ACME Laboratories Ltd.,125 mg/5 ml,77.52
Cephalexin,Acelex,ACME Laboratories Ltd.,500 mg,12.50
Cephalexin,Acelex,ACME Laboratories Ltd.,250 mg,6.60
Aceclofenac,Acelock,Bristol Pharmaceuticals Ltd.,100 mg,3.00
Aceclofenac,Acelon,Central Pharmaceuticals Ltd.,100 mg,3.00
Acetazolamide,Acemox,ACME Laboratories Ltd.,250 mg,2.00
Aceclofenac,Acenac,Medicon Pharmaceuticals Ltd.,100 mg,2.73
Aceclofenac,Acenopan,RN Pharmaceuticals,100 mg,4.00
Paracetamol,Acep,Zenith Pharmaceuticals Ltd.,80 mg/ml,11.00
Paracetamol,Acep,Zenith Pharmaceuticals Ltd.,120 mg/5 ml,16.11
Paracetamol,Acep,Zenith Pharmaceuticals Ltd.,500 mg,0.80
Paracetamol + Caffeine,Acep Plus,Zenith Pharmaceuticals Ltd.,500 mg+65 mg,1.50
Lisinopril,Acepril,Drug International Ltd.,10 mg,7.05
Lisinopril,Acepril,Drug International Ltd.,5 mg,4.05
Aceclofenac,Acepro,The White Horse Pharma,100 mg,3.95
Ranitidine,Aceptin-R,Asiatic Laboratories Ltd.,150 mg,2.00
Ramipril,Aceril,Ibn-Sina Pharmaceuticals Ltd.,2.5 mg,5.00
Ramipril,Aceril,Ibn-Sina Pharmaceuticals Ltd.,5 mg,8.00
Acyclovir (Topical),Acerux,Opsonin Pharma Ltd.,5% w/w,40.16
Acyclovir (Injection),Acerux,Opsonin Pharma Ltd.,250 mg/vial,399.84
Acyclovir (Injection),Acerux,Opsonin Pharma Ltd.,500 mg/vial,699.71
Acyclovir (Oral),Acerux,Opsonin Pharma Ltd.,200 mg,14.04
Acyclovir (Oral),Acerux,Opsonin Pharma Ltd.,400 mg,21.99
Acyclovir (Oral),Acerux,Opsonin Pharma Ltd.,200 mg/5 ml,125.42
Acyclovir (Ophthalmic),Acerux,Opsonin Pharma Ltd.,3%,45.17
Paracetamol,Aceta,Biopharma Laboratories Ltd.,500 mg,0.80
Paracetamol,Aceta,Biopharma Laboratories Ltd.,500 mg,0.80
Paracetamol,Aceta,Biopharma Laboratories Ltd.,80 mg/ml,10.85
Paracetamol,Aceta Extend,Biopharma Laboratories Ltd.,665 mg,1.50
Paracetamol + Tramadol Hydrochloride,Aceta-T,Biopharma Laboratories Ltd.,325 mg+37.5 mg,7.98
Paracetamol + Caffeine,Aceta-X,Biopharma Laboratories Ltd.,500 mg+65 mg,1.91
Paracetamol,Aceto,Reliance Pharmaceuticals Ltd.,500 mg,0.79
Captopril,Acetor,Drug International Ltd.,25 mg,3.05
Paracetamol + Tramadol Hydrochloride,Acetram,Square Pharmaceuticals Ltd.,325 mg+37.5 mg,8.03
Aceclofenac,ACF,Decent Pharma Laboratories Ltd.,100 mg,4.00
Aceclofenac,Acflam,Apollo Pharmaceutical Ltd.,100 mg,4.00
Oral Rehydration Salt [Powder],ACI ORS,ACI Limited,10.25 gm,4.60
Oral Rehydration Salt [Flavored],ACI ORS Fruity,ACI Limited,,5.00
Alcaftadine,Acicaft,ACI Limited,0.25%,400.00
Calcium Carbonate,Acical,ACI Limited,500 mg,4.01
Calcium Carbonate,Acical JR,ACI Limited,250 mg,3.01
Calcium Lactate Gluconate + Calcium Carbonate + Vitamin-C,Acical-C,ACI Limited,1000 mg+327 mg+500 mg,11.03
Calcium Carbonate [Elemental] + Vitamin D3,Acical-D,ACI Limited,500 mg+200 IU,7.00
Calcium Carbonate [Elemental] + Vitamin D3,Acical-DX,ACI Limited,600 mg+400 IU,15.00
Calcium Carbonate + Vitamin D3 + Multimineral,Acical-M,ACI Limited,,7.00
Calcium Carbonate + Vitamin D3 + Multimineral,Acical-MX,ACI Limited,,20.00
Acyclovir (Ophthalmic),Aciclon,Reman Drug Laboratories Ltd.,3%,60.00
Dexamethasone Sodium Phosphate (E/E),Acicot,ACI Limited,0.1%,65.00
Magaldrate,Acidrox M,Syntho Laboratories Ltd.,400 mg,1.00
Rabeprazole Sodium,Acifix,Beximco Pharmaceuticals Ltd.,20 mg,7.00
Sparfloxacin,Aciflox,ACI Limited,200 mg,12.00
Protamine Crystallised Insulin Aspart,Acilog,ACI Limited,100 IU/ml,450.00
Protamine Crystallised Insulin Aspart,Acilog,ACI Limited,100 IU/ml,825.00
Biphasic Insulin Aspart [rDNA],Acilog Mix,ACI Limited,30%+70%,825.00
Biphasic Insulin Aspart [rDNA],Acilog Mix,ACI Limited,30%+70%,450.00
Ranitidine,Acin,Biopharma Laboratories Ltd.,150 mg,2.01
Ranitidine,Acin,Biopharma Laboratories Ltd.,300 mg,3.49
Ranitidine,Acin,Biopharma Laboratories Ltd.,150 mg,2.01
Escitalopram,Acipam,Ibn-Sina Pharmaceuticals Ltd.,10 mg,10.01
Escitalopram,Acipam,Ibn-Sina Pharmaceuticals Ltd.,5 mg,5.00
Ceftriaxone,Aciphin,ACI Limited,250 mg/vial,100.30
Ceftriaxone,Aciphin,ACI Limited,2 gm/vial,302.04
Ceftriaxone,Aciphin,ACI Limited,1 gm/vial,191.29
Ceftriaxone,Aciphin,ACI Limited,500 mg/vial,130.39
Ceftriaxone,Aciphin,ACI Limited,250 mg/vial,100.30
Ceftriaxone,Aciphin,ACI Limited,1 gm/vial,191.29
Ceftriaxone,Aciphin,ACI Limited,500 mg/vial,130.39
Cetirizine Hydrochloride [Oral],Acitrin,ACI Limited,5 mg/5 ml,30.09
Cetirizine Hydrochloride [Oral],Acitrin,ACI Limited,10 mg,3.01
Cetirizine Hydrochloride [Oral],Acitrin,ACI Limited,2.5 mg/ml,25.08
Levocetirizine Dihydrochloride,Acitrin-L,ACI Limited,2.5 mg/5 ml,55.00
Levocetirizine Dihydrochloride,Acitrin-L,ACI Limited,5 mg,3.01
Zoledronic Acid [For hypercalcemia],Aclasta,SANDOZ (A Novartis Division),5 mg/100 ml,"33,927.98"
Adapalene,Aclene,Drug International Ltd.,0.1%,60.20
Adapalene + Benzoyl peroxide,Aclene Plus,Drug International Ltd.,0.1%+2.5%,150.00
Meclizine Hydrochloride,Acliz,Aristopharma Ltd.,50 mg,2.50
Meclizine + Pyridoxine,Acliz Plus,Aristopharma Ltd.,25 mg+50 mg,3.00
Aceclofenac,Aclo,Alco Pharma Ltd.,100 mg,4.00
Clobetasol Propionate [Topical Preparation],Aclobet,ACME Laboratories Ltd.,0.05%,50.14
Clobetasol Propionate [Topical Preparation],Aclobet,ACME Laboratories Ltd.,0.05%,45.13
Clobetasol Propionate + Neomycin Sulphate + Nystatin,Aclobet-N,ACME Laboratories Ltd.,0.05%+0.5%+2%,60.18
Clobetasol Propionate + Neomycin Sulphate + Nystatin,Aclobet-N,ACME Laboratories Ltd.,0.05%+0.5%+2%,65.45
Aceclofenac,Aclonac,Pharmasia Limited,100 mg,4.00
Aceclofenac,Aclopain,Julphar Bangladesh Ltd.,100 mg,4.00
Clobetasol Propionate [Topical Preparation],Aclosol,Ad-din pharmaceuticals Ltd.,0.05%,45.00
Aceclofenac,Aclovix,Aexim Pharmaceuticals Ltd.,100 mg,2.50
Cholera Saline,Acme's Cholera Saline,ACME Laboratories Ltd.,,70.14
Dextrose,Acme's Dextrose,ACME Laboratories Ltd.,5%,71.30
Dextrose,Acme's Dextrose DS,ACME Laboratories Ltd.,10%,78.20
Sodium Chloride + Dextrose,Acme's DNS,ACME Laboratories Ltd.,0.9%+5%,75.89
Hartmann's Solution,Acme's Hartmann Solution,ACME Laboratories Ltd.,,71.30
Mannitol,Acme's Mannitol,ACME Laboratories Ltd.,20%,155.47
Magnesium Hydroxide,Acme's Milk of Magnesia,ACME Laboratories Ltd.,400 mg/5 ml,60.18
Magnesium Hydroxide + Liquid Paraffin,Acme's Milk of Magnesia Plus,ACME Laboratories Ltd.,(300 mg+1.25 ml)/5 ml,95.29
Sodium Chloride (Intravenous Solution),Acme's Normal Saline,ACME Laboratories Ltd.,0.9%,67.85
Oral Rehydration Salt [Powder],Acme's ORS,ACME Laboratories Ltd.,13.95 gm,5.00
Ampicillin,Acmecilin,ACME Laboratories Ltd.,250 mg/vial,19.43
Ampicillin,Acmecilin,ACME Laboratories Ltd.,125 mg/5 ml,39.71
Ampicillin,Acmecilin,ACME Laboratories Ltd.,500 mg/vial,27.32
Ampicillin,Acmecilin,ACME Laboratories Ltd.,250 mg,3.34
Sildenafil Citrate,Acmegra,ACME Laboratories Ltd.,25 mg,18.06
Sildenafil Citrate,Acmegra,ACME Laboratories Ltd.,50 mg,27.09
Sildenafil Citrate,Acmegra,ACME Laboratories Ltd.,100 mg,45.13
Aceclofenac,ACN,Modern Pharmaceuticals Ltd.,100 mg,4.00
Sulphonated Surfactant,Acne-Aid,GlaxoSmithKline,6.3%,315.00
Sulphonated Surfactant,Acne-Aid,GlaxoSmithKline,2%,649.00
Adapalene + Benzoyl peroxide,Acnegel,ACME Laboratories Ltd.,0.1%+2.5%,160.48
Ticagrelor,Acora,ACI Limited,90 mg,75.00
Ambroxol Hydrochloride,Acorex,Apex Pharmaceuticals Ltd.,15 mg/5 ml,40.00
Azithromycin,Acos,Radiant Pharmaceuticals Ltd.,200 mg/5 ml,175.53
Azithromycin,Acos,Radiant Pharmaceuticals Ltd.,500 mg,55.17
Aceclofenac,ACPR,Pacific Pharmaceuticals Ltd.,100 mg,4.00
Erythromycin (Oral),Acryth,Monicopharma Ltd.,125 mg/5 ml,60.00
Paracetamol,Act,Ambee Pharmaceuticals Ltd.,120 mg/5 ml,20.56
Paracetamol,Act,Ambee Pharmaceuticals Ltd.,80 mg/ml,12.31
Paracetamol,Act,Ambee Pharmaceuticals Ltd.,500 mg,0.80
Paracetamol + Caffeine,Act Plus,Ambee Pharmaceuticals Ltd.,500 mg+65 mg,2.00
Tocilizumab,Actemra,Roche Bangladesh Ltd.,162 mg/0.9 ml,"14,950.00"
Tocilizumab,Actemra,Roche Bangladesh Ltd.,80 mg/4 ml,"8,700.00"
Tocilizumab,Actemra,Roche Bangladesh Ltd.,200 mg/10 ml,"21,300.00"
Probiotic Combination,Acteria,Radiant Pharmaceuticals Ltd.,4 billion,25.00
Ambroxol Hydrochloride,Acticol,GlaxoSmithKline,15 mg/5 ml,40.00
Ketorolac Tromethamine,Actifast,Social Marketing Company,10 mg,10.00
Lactulose,Actilac,Healthcare Pharmacuticals Ltd.,3.35 gm/5 ml,125.00
Alteplase,Actilyse,Radiant Pharmaceuticals Ltd.,50 mg/vial,"48,000.00"
Levosalbutamol (Oral),Actisal,Silva Pharmaceuticals Ltd.,1 mg,0.90
Levosalbutamol (Oral),Actisal,Silva Pharmaceuticals Ltd.,2 mg,1.71
Levosalbutamol (Oral),Actisal,Silva Pharmaceuticals Ltd.,1 mg/5 ml,25.09
Sildenafil Citrate,Activa,Pacific Pharmaceuticals Ltd.,50 mg,25.00
Sildenafil Citrate,Activa,Pacific Pharmaceuticals Ltd.,100 mg,40.00
Betacarotene + Vitamin C + Vitamin E,Active-Plus,The White Horse Pharma,6 mg+200 mg+50 mg,2.47
Multivitamin & Multimineral [A-Z gold preparation],Activit Gold,Delta Pharma Ltd.,,7.00
Multivitamin & Multimineral [A-Z silver preparation],Activit Silver,Delta Pharma Ltd.,,7.00
Vitamin B Complex + Zinc,Activit Z,Delta Pharma Ltd.,,45.00
Iron Polymaltose Complex + Vitamin B Complex + Zinc,Activit ZI,Delta Pharma Ltd.,,50.00
Cetirizine Hydrochloride [Oral],Actizen,Ambee Pharmaceuticals Ltd.,10 mg,2.03
Cetirizine Hydrochloride [Oral],Actizen,Ambee Pharmaceuticals Ltd.,5 mg/5 ml,16.06
Paracetamol,Actol,Somatec Pharmaceuticals Ltd.,120 mg/5 ml,20.69
Salbutamol,Actolin,Globe Pharmaceuticals Ltd.,4 mg,0.40
Salbutamol,Actolin,Globe Pharmaceuticals Ltd.,2 mg/5 ml,23.01
Pioglitazone + Metformin Hydrochloride,Actomeg,Unimed Unihealth MFG. Ltd.,15 mg+500 mg,9.00
Pioglitazone + Metformin Hydrochloride,Actomeg,Unimed Unihealth MFG. Ltd.,15 mg+850 mg,10.00
Pioglitazone,Actose,Unimed Unihealth MFG. Ltd.,15 mg,8.00
Pioglitazone,Actose,Unimed Unihealth MFG. Ltd.,30 mg,15.00
Insulin Human [Fast-Acting],Actrapid,Novo Nordisk,100 IU/10 ml,415.00
Insulin Human [Fast-Acting],Actrapid,Novo Nordisk,40 IU/10 ml,268.00
Insulin Human [Fast-Acting],Actrapid FlexPen,Novo Nordisk,100 IU/ml,421.00
Insulin Human [Fast-Acting],Actrapid Penfill,Novo Nordisk,100 IU/ml,419.00
Cotrimoxazole [Sulphamethoxazole + Trimethoprim],Actrim,Globe Pharmaceuticals Ltd.,(200 mg+40 mg)/5 ml,22.00
Cotrimoxazole [Sulphamethoxazole + Trimethoprim],Actrim-DS,Globe Pharmaceuticals Ltd.,800 mg+160 mg,2.00
Lactulose,Actulose,Silva Pharmaceuticals Ltd.,3.35 gm/5 ml,60.22
Bisoprolol Fumarate,Acubis,Concord Pharmaceuticals Ltd.,5 mg,10.03
Bisoprolol Fumarate,Acubis,Concord Pharmaceuticals Ltd.,2.5 mg,6.02
Amlodipine,Acudipin,Concord Pharmaceuticals Ltd.,5 mg,5.02
Amlodipine + Atenolol,Acudipin Plus,Concord Pharmaceuticals Ltd.,5 mg+50 mg,6.02
Bromfenac Sodium,Acunac,General Pharmaceuticals Ltd.,0.09%,100.30
Ketorolac Tromethamine,Acupain,Beacon Pharmaceuticals Ltd.,10 mg,10.06
Ketorolac Tromethamine,Acupain,Beacon Pharmaceuticals Ltd.,30 mg/ml,55.20
Hydrochlorothiazide,Acuren,Incepta Pharmaceuticals Ltd.,25 mg,0.70
Hydrochlorothiazide,Acuren,Incepta Pharmaceuticals Ltd.,50 mg,1.00
Losartan Potassium,Acusan,Concord Pharmaceuticals Ltd.,50 mg,8.02
Losartan Potassium + Hydrochlorothiazide,Acusan Plus,Concord Pharmaceuticals Ltd.,50 mg+12.5 mg,8.02
Acyclovir (Injection),Acyvir,Aristopharma Ltd.,250 mg/vial,400.00
Acyclovir (Injection),Acyvir,Aristopharma Ltd.,500 mg/vial,700.00
Acyclovir (Ophthalmic),Acyvir,Aristopharma Ltd.,3%,125.00
Iron + Folic Acid + Vitamin B Complex + Vitamine C + Zinc Sulfate,Ad-All,Ad-din pharmaceuticals Ltd.,,3.00
Adapalene + Benzoyl peroxide,Adaben Duo,Incepta Pharmaceuticals Ltd.,0.1%+2.5%,200.00
Tadalafil,Adafil,Beximco Pharmaceuticals Ltd.,10 mg,35.00
Tadalafil,Adafil,Beximco Pharmaceuticals Ltd.,20 mg,60.01
Roflumilast,Adair,ACI Limited,500 mcg,15.00
Prednisolone,Adam 33,Nuvista Pharma Ltd.,5 mg,1.73
Prednisolone,Adam 33,Nuvista Pharma Ltd.,20 mg,6.28
Adapalene,Adapel,Healthcare Pharmacuticals Ltd.,0.1%,60.00
Azilsartan Medoxomil,Adarbi,NIPRO JMI Pharma Ltd.,40 mg,12.00
Azilsartan Medoxomil,Adarbi,NIPRO JMI Pharma Ltd.,80 mg,22.00
Calcium Carbonate [Elemental] + Vitamin D3,Adcal D,Amulet Pharmaceuticals Ltd.,500 mg+200 IU,5.02
Vitamin B complex,Adcovit,Team Pharmaceuticals Ltd.,,62.19
Adenosine,Adecard,Popular Pharmaceuticals Ltd.,6 mg/2 ml,150.00
Cephradine,Adecef,Supreme Pharmaceutical Ltd.,500 mg,12.50
Cephradine,Adecef,Supreme Pharmaceutical Ltd.,125 mg/5 ml,80.00
Cephradine,Adecef DS,Supreme Pharmaceutical Ltd.,250 mg/5 ml,120.00
Ciprofloxacin,Adecin,Supreme Pharmaceutical Ltd.,500 mg,14.00
Sildenafil Citrate,Adegra,ACI Limited,25 mg,20.06
Sildenafil Citrate,Adegra,ACI Limited,50 mg,30.09
Sildenafil Citrate,Adegra,ACI Limited,100 mg,50.15
Domperidone Maleate,Adegut,Supreme Pharmaceutical Ltd.,10 mg,2.00
Domperidone Maleate,Adegut,Supreme Pharmaceutical Ltd.,5 mg/5 ml,28.00
Flupentixol + Melitracen,Adelax,ACI Limited,0.5 mg+10 mg,5.02
Cefuroxime Axetil,Adetil,Supreme Pharmaceutical Ltd.,250 mg,25.00
Cefuroxime Axetil,Adetil,Supreme Pharmaceutical Ltd.,500 mg,45.00
Cefixime Trihydrate,Adexim,Supreme Pharmaceutical Ltd.,200 mg,30.00
Cefixime Trihydrate,Adexim,Supreme Pharmaceutical Ltd.,100 mg/5 ml,160.00
Flucloxacillin Sodium,Adflox,Team Pharmaceuticals Ltd.,500 mg,9.50
Adapalene,Adgar,ACI Limited,0.1%,60.18
Glimepiride,Adglim,Unimed Unihealth MFG. Ltd.,1 mg,3.00
